EMPID,Status,Function,Division,Union Status,Employment Category,Rehire_Date,Total Service Date,Birth Date,Age,Generation,Pay Scale Group,Gender,Ethnic Origin,Action Reason,Last Performance Rating,Last Potential Rating,Rehired,Employee Pay Frequency,ExemptTF,Employee Pay Basis,Manager_ID,Months Since Last Hire,Tenure_Months,Action Change Date,Action Type
4493,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,15-Jul-88,29-Nov-61,53,Boomer,Group C,Male,W,,Meets & Exceeds,Not assigned,F,Bi-Weekly,F,Hourly,S1166,327,327,,
42139,Active,Operations,Product,Non-Union,Regular Employee FT,,14-Sep-11,29-Nov-61,53,Boomer,Group C,Male,B,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S187,49,49,,
28845,Active,Sales,Sales,Union,Regular Employee FT,,21-Mar-07,26-Nov-61,53,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Weekly,F,Daily,S870,103,103,,
22403,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,28-Jul-00,19-Nov-61,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Weekly,F,Hourly,S3982,141,183,,
1616,Active,Operations,Product,Non-Union,Regular Employee FT,,20-Nov-80,18-Nov-61,53,Boomer,Group C,Male,B,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S437,419,419,,
41425,Active,HR,Corporate,Non-Union,Regular Employee FT,,5-Jul-11,11-Nov-61,53,Boomer,Group C,Female,B,,Meets & Exceeds,Not assigned,F,Bi-Weekly,F,Hourly,S2582,52,52,,
1565,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,16-Sep-80,10-Nov-61,53,Boomer,Group C,Male,W,,Meets & Exceeds,Not assigned,F,Bi-Weekly,F,Hourly,S1380,421,421,,
4263,Active,Sales,Sales,Non-Union,Regular Employee FT,,31-Dec-87,9-Nov-61,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S5287,334,334,,
11883,Active,Sales,Sales,Non-Union,Regular Employee FT,,10-Mar-98,9-Nov-61,53,Boomer,Group C,Female,W,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S4553,212,212,,
3474,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,29-Apr-86,7-Nov-61,53,Boomer,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1041,354,354,,
57788,Active,Operations,Product,Union,Regular Employee FT,,4-Jun-14,5-Nov-61,53,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1437,17,17,,
9649,Active,Operations,Product,Non-Union,Regular Employee FT,,26-Jun-96,4-Nov-61,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Strong Contributor,F,Monthly,T,Salary,S19,232,232,,
5197,Active,Sales,Sales,Non-Union,Regular Employee FT,,14-Feb-90,30-Oct-61,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S5290,308,308,,
22750,Active,Sales,Sales,Non-Union,Regular Employee FT,,25-Apr-04,28-Oct-61,53,Boomer,Group C,Male,W,,Exceeds,Not assigned,F,Bi-Weekly,F,Hourly,S2458,138,138,,
31849,Active,Sales,Sales,Non-Union,Regular Employee FT,,26-Mar-08,26-Oct-61,53,Boomer,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2439,91,91,,
3727,Active,Operations,Product,Non-Union,Regular Employee FT,,17-Sep-86,15-Oct-61,53,Boomer,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1484,349,349,,
55373,Active,Operations,Product,Union,Regular Employee FT,,14-Nov-89,11-Oct-61,53,Boomer,Group C,Male,U,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S3192,21,311,,
13503,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,9-Mar-99,1-Oct-61,53,Boomer,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S1770,200,200,,
